Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
03/01/2021,Benevento,Milan,0.0,2.0,-2.0,7.0,5.0,5.25,4.2,1.57,A
03/01/2021,Juventus,Udinese,4.0,1.0,3.0,10.0,7.0,1.4,4.5,7.5,H
06/01/2021,Cagliari,Benevento,1.0,2.0,-1.0,5.0,3.0,2.4,3.4,2.87,A
06/01/2021,Atalanta,Parma,3.0,0.0,3.0,6.0,1.0,1.25,6.5,10.0,H
06/01/2021,Bologna,Udinese,2.0,2.0,0.0,7.0,9.0,2.6,3.3,2.62,D
06/01/2021,Crotone,Roma,1.0,3.0,-2.0,5.0,5.0,7.0,5.0,1.4,A
06/01/2021,Lazio,Fiorentina,2.0,1.0,1.0,6.0,8.0,1.72,3.8,4.2,H
06/01/2021,Sampdoria,Inter,2.0,1.0,1.0,6.0,11.0,6.0,4.2,1.5,H
06/01/2021,Sassuolo,Genoa,2.0,1.0,1.0,6.0,3.0,1.75,3.6,4.75,H
06/01/2021,Torino,Verona,1.0,1.0,0.0,5.0,2.0,2.5,3.3,2.75,D
06/01/2021,Napoli,Spezia,1.0,2.0,-1.0,11.0,4.0,1.2,7.0,15.0,A
06/01/2021,Milan,Juventus,1.0,3.0,-2.0,7.0,10.0,3.1,3.4,2.25,A
09/01/2021,Benevento,Atalanta,1.0,4.0,-3.0,2.0,15.0,7.0,4.75,1.4,A
09/01/2021,Genoa,Bologna,2.0,0.0,2.0,7.0,4.0,3.0,3.4,2.35,H
09/01/2021,Milan,Torino,2.0,0.0,2.0,4.0,4.0,1.61,3.9,5.5,H
10/01/2021,Roma,Inter,2.0,2.0,0.0,8.0,6.0,2.87,3.6,2.37,D
10/01/2021,Parma,Lazio,0.0,2.0,-2.0,3.0,5.0,5.5,4.2,1.57,A
10/01/2021,Udinese,Napoli,1.0,2.0,-1.0,8.0,6.0,4.0,3.8,1.85,A
10/01/2021,Verona,Crotone,2.0,1.0,1.0,7.0,3.0,1.75,3.75,4.6,H
10/01/2021,Fiorentina,Cagliari,1.0,0.0,1.0,5.0,3.0,1.75,3.9,4.33,H
10/01/2021,Juventus,Sassuolo,3.0,1.0,2.0,10.0,2.0,1.3,5.5,9.5,H
11/01/2021,Spezia,Sampdoria,2.0,1.0,1.0,4.0,4.0,3.1,3.4,2.3,H
15/01/2021,Lazio,Roma,3.0,0.0,3.0,9.0,2.0,2.8,3.6,2.37,H
16/01/2021,Bologna,Verona,1.0,0.0,1.0,6.0,1.0,2.3,3.3,3.1,H
16/01/2021,Torino,Spezia,0.0,0.0,0.0,2.0,3.0,2.0,3.5,3.75,D
16/01/2021,Sampdoria,Udinese,2.0,1.0,1.0,8.0,7.0,2.9,3.3,2.5,H
17/01/2021,Napoli,Fiorentina,6.0,0.0,6.0,7.0,3.0,1.53,4.33,5.75,H
17/01/2021,Crotone,Benevento,4.0,1.0,3.0,3.0,6.0,2.75,3.5,2.4,H
17/01/2021,Sassuolo,Parma,1.0,1.0,0.0,6.0,2.0,1.66,4.3,4.5,D
17/01/2021,Atalanta,Genoa,0.0,0.0,0.0,4.0,3.0,1.2,7.0,13.0,D
17/01/2021,Inter,Juventus,2.0,0.0,2.0,6.0,4.0,2.4,3.5,2.8,H
18/01/2021,Cagliari,Milan,0.0,2.0,-2.0,2.0,8.0,5.75,4.75,1.5,A
20/01/2021,Udinese,Atalanta,1.0,1.0,0.0,1.0,8.0,4.33,3.9,1.75,D
22/01/2021,Benevento,Torino,2.0,2.0,0.0,3.0,6.0,2.8,3.2,2.6,D
23/01/2021,Roma,Spezia,4.0,3.0,1.0,8.0,3.0,1.44,5.0,6.2,H
23/01/2021,Milan,Atalanta,0.0,3.0,-3.0,3.0,10.0,2.62,3.8,2.45,A
23/01/2021,Udinese,Inter,0.0,0.0,0.0,1.0,4.0,6.0,4.0,1.57,D
23/01/2021,Fiorentina,Crotone,2.0,1.0,1.0,6.0,3.0,1.61,4.0,5.25,H
24/01/2021,Juventus,Bologna,2.0,0.0,2.0,12.0,3.0,1.4,5.0,7.0,H
24/01/2021,Genoa,Cagliari,1.0,0.0,1.0,6.0,7.0,2.25,3.5,3.1,H
24/01/2021,Verona,Napoli,3.0,1.0,2.0,7.0,4.0,5.0,3.9,1.66,H
24/01/2021,Lazio,Sassuolo,2.0,1.0,1.0,8.0,1.0,1.7,4.0,4.75,H
24/01/2021,Parma,Sampdoria,0.0,2.0,-2.0,7.0,4.0,3.0,3.4,2.4,A
29/01/2021,Torino,Fiorentina,1.0,1.0,0.0,6.0,3.0,2.7,3.25,2.62,D
30/01/2021,Bologna,Milan,1.0,2.0,-1.0,5.0,13.0,4.0,3.8,1.85,A
30/01/2021,Sampdoria,Juventus,0.0,2.0,-2.0,2.0,4.0,7.0,4.5,1.45,A
